Unnamed: 0,state_total,NSW_total,VIC_total,QLD_total,SA_total,WA_total,TAS_total,ACT_total
Dec-1976,1098.7,337.7,287.2,265.5,59.8,111.2,31.5,5.8
Mar-1977,1149.7,373.1,298.2,262.9,69.1,101.5,38.6,6.4
Jun-1977,1259.9,397.0,294.0,322.7,80.2,115.1,43.0,7.7
Sep-1977,1365.4,425.4,335.7,380.3,74.2,103.8,39.0,7.0
Dec-1977,1298.9,399.3,357.6,325.6,71.7,99.5,38.4,6.9
Mar-1978,1191.8,357.6,347.0,269.6,72.6,94.6,42.7,7.8
Jun-1978,1346.6,359.5,342.6,420.5,61.1,113.5,41.0,8.5
Sep-1978,1326.2,374.3,280.4,425.3,64.1,113.7,31.9,8.0
Dec-1978,1345.5,395.6,304.0,384.1,86.7,116.8,32.3,8.0
Mar-1979,1254.7,394.9,303.6,347.2,77.6,86.3,31.0,7.3
Jun-1979,1036.9,260.0,193.8,387.8,50.4,91.4,28.4,5.7
Sep-1979,1099.6,272.4,173.5,433.4,53.6,106.5,21.1,5.2
Dec-1979,1028.1,326.5,211.3,288.8,61.6,85.7,21.8,6.8
Mar-1980,858.8,286.3,190.5,202.8,58.8,70.5,30.1,8.8
Jun-1980,1001.9,239.0,185.2,388.5,40.3,86.2,22.6,7.1
Sep-1980,1130.1,250.9,186.4,444.2,60.7,113.8,18.6,6.1
Dec-1980,921.5,268.2,218.2,227.0,64.4,88.3,22.0,6.2
Mar-1981,772.1,212.6,238.7,158.0,48.9,75.5,28.9,5.6
Jun-1981,964.1,235.7,199.1,319.7,54.5,94.3,26.4,5.9
Sep-1981,1031.2,207.6,177.1,427.8,51.9,101.3,22.6,6.8
Dec-1981,950.1,204.4,208.1,344.7,59.7,86.5,23.7,6.7
Mar-1982,996.2,238.9,270.7,285.6,75.3,81.0,32.1,8.5
Jun-1982,1118.3,236.6,218.4,434.7,65.5,99.3,28.2,6.3
Sep-1982,1210.5,259.4,232.4,450.0,86.8,111.5,24.1,3.1
Dec-1982,945.2,236.2,228.8,261.0,78.7,89.4,28.6,1.4
Mar-1983,867.2,218.7,232.6,240.5,66.1,70.6,31.5,3.9
Jun-1983,855.0,185.2,146.6,354.5,44.3,76.4,25.2,3.0
Sep-1983,1011.9,195.8,159.0,428.0,61.0,100.6,18.0,3.7
Dec-1983,836.3,199.6,175.2,293.8,61.2,64.1,17.6,4.6
Mar-1984,755.1,181.3,189.2,260.3,42.4,47.4,24.0,5.9
Jun-1984,863.7,171.9,153.8,380.4,46.1,61.5,20.8,5.9
Sep-1984,896.7,167.2,156.0,379.5,57.7,84.3,17.1,5.6
Dec-1984,738.0,162.3,161.7,255.7,51.3,65.3,20.5,5.1
Mar-1985,767.5,176.3,192.3,255.8,58.5,52.1,22.7,4.9
Jun-1985,899.2,157.6,146.1,420.1,60.0,72.7,23.1,3.8
Sep-1985,880.3,166.1,144.3,389.7,60.5,74.2,16.3,3.9
Dec-1985,806.7,189.8,180.6,267.8,61.4,67.4,18.7,5.5
Mar-1986,807.5,200.7,184.0,277.2,62.9,47.9,24.9,5.6
Jun-1986,885.7,188.5,140.7,392.9,49.0,63.7,25.6,6.3
Sep-1986,958.6,191.0,139.9,444.8,59.5,68.2,18.9,5.9
Dec-1986,955.7,212.6,185.3,367.1,73.1,71.9,22.8,5.3
Mar-1987,843.9,208.5,184.8,285.3,67.8,58.9,30.1,5.3
Jun-1987,937.8,206.5,156.1,385.9,63.8,69.8,32.1,6.0
Sep-1987,1030.3,245.1,143.3,438.8,61.7,76.1,23.8,5.7
Dec-1987,1041.6,271.1,180.5,377.5,82.4,79.9,24.2,6.4
Mar-1988,951.3,265.6,198.0,305.0,80.9,59.8,32.0,6.8
Jun-1988,896.5,207.1,164.8,357.4,57.7,61.4,25.2,6.0
Sep-1988,984.5,228.0,159.1,406.8,54.2,69.1,19.1,7.8
Dec-1988,986.0,250.8,195.2,346.6,79.0,67.6,22.5,7.6
Mar-1989,875.3,236.4,201.0,279.9,68.9,52.7,25.1,8.5
Jun-1989,965.3,237.0,194.1,359.9,57.3,63.5,30.5,8.3
Sep-1989,1094.2,251.2,199.4,428.7,74.8,76.7,26.2,7.4
Dec-1989,1108.1,295.8,207.4,401.4,73.2,78.0,24.7,9.6
Mar-1990,1050.8,308.6,200.7,359.0,73.7,63.2,32.6,9.6
Jun-1990,1000.6,250.4,191.3,364.3,63.5,67.9,33.5,7.8
Sep-1990,1143.4,261.6,212.2,480.3,63.1,68.7,23.3,8.2
Dec-1990,1203.3,312.3,246.0,459.7,66.9,73.3,22.6,8.6
Mar-1991,939.7,231.3,237.9,300.5,66.4,59.3,35.7,7.0
Jun-1991,1073.0,258.3,217.9,434.1,56.8,52.2,30.3,8.7
Sep-1991,1102.2,265.1,164.5,509.6,52.2,60.9,21.6,2.5
Dec-1991,1102.0,273.1,207.0,440.8,74.3,69.0,23.7,7.7
Mar-1992,1000.4,276.1,236.6,322.7,66.8,57.8,30.2,8.0
Jun-1992,1058.6,286.7,190.6,407.3,59.8,58.4,29.2,8.3
Sep-1992,1107.3,283.0,172.2,475.4,57.2,71.9,18.2,7.7
Dec-1992,1093.1,263.4,205.2,435.7,77.0,80.2,21.8,4.5
Mar-1993,983.7,250.5,213.5,340.2,70.2,67.8,31.1,8.3
Jun-1993,1072.3,275.8,187.4,461.9,54.2,51.9,27.9,10.0
Sep-1993,1102.8,270.1,166.7,511.4,47.3,76.4,21.1,3.1
Dec-1993,1053.5,252.9,195.2,440.2,56.3,81.2,25.2,0.0
Mar-1994,944.2,243.8,217.6,342.6,52.7,59.4,27.7,0.0
Jun-1994,969.5,241.7,192.5,406.4,42.7,54.1,27.8,0.0
Sep-1994,1062.5,290.8,169.4,484.3,37.3,56.5,18.8,0.0
Dec-1994,1109.7,294.2,210.2,433.0,68.3,74.2,27.6,0.0
Mar-1995,896.0,266.3,194.8,281.1,57.0,62.8,33.8,0.0
Jun-1995,988.4,254.2,208.3,398.7,43.5,50.6,30.9,0.0
Sep-1995,1003.9,242.7,200.7,447.0,36.9,49.5,18.0,0.0
Dec-1995,978.7,229.5,241.7,351.2,58.3,68.4,24.4,0.0
Mar-1996,979.2,273.6,262.8,310.5,50.6,53.6,27.6,0.0
Jun-1996,1026.4,278.1,241.7,397.1,34.6,46.5,25.4,0.0
Sep-1996,954.1,259.9,211.6,383.7,31.2,42.6,19.9,0.0
Dec-1996,986.1,272.6,231.4,342.4,47.5,60.2,29.3,0.0
Mar-1997,987.3,268.0,240.6,350.3,45.8,49.7,32.7,0.0
Jun-1997,1040.2,272.8,215.1,433.0,46.5,39.9,27.4,0.0
Sep-1997,1070.8,259.2,213.5,486.2,36.1,46.0,21.1,0.0
Dec-1997,1015.0,248.4,226.8,403.7,51.4,58.7,23.1,0.0
Mar-1998,958.3,234.5,248.6,356.9,46.7,46.0,25.4,0.0
Jun-1998,949.6,214.4,212.5,414.1,35.5,45.3,23.8,0.0
Sep-1998,979.2,209.7,192.0,472.5,29.7,45.1,20.9,0.0
Dec-1998,994.4,198.0,229.6,440.3,35.4,66.6,22.4,0.0
Mar-1999,968.0,200.5,238.7,431.7,27.9,45.9,23.0,0.0
Jun-1999,929.5,172.8,191.9,463.5,30.1,40.3,28.5,0.0
Sep-1999,1009.5,187.3,173.6,536.7,37.1,42.2,26.7,0.0
Dec-1999,1015.5,196.7,189.0,502.1,44.5,55.8,26.0,0.0
Mar-2000,920.3,192.2,192.9,416.1,46.7,42.3,29.9,0.0
Jun-2000,947.4,179.3,154.5,503.3,41.3,41.2,26.4,0.0
Sep-2000,1035.9,192.9,148.9,587.4,38.5,45.8,18.9,0.0
Dec-2000,1048.1,181.2,167.8,567.4,49.8,59.3,22.4,0.0
Mar-2001,987.9,197.3,170.3,501.0,50.4,39.8,28.9,0.0
Jun-2001,1055.0,195.7,145.0,610.8,41.0,42.1,20.1,0.0
Sep-2001,1095.4,207.6,138.6,663.2,37.0,31.3,17.2,0.0
Dec-2001,984.2,189.9,170.7,523.1,46.0,34.9,19.3,0.0
Mar-2002,884.8,206.4,171.1,397.7,51.6,34.6,23.2,0.0
Jun-2002,1038.0,216.5,150.1,566.0,47.4,36.9,20.9,0.0
Sep-2002,1056.0,233.1,135.2,591.1,38.1,39.0,19.2,0.0
Dec-2002,1065.2,261.8,168.4,517.5,42.9,55.5,18.9,0.0
Mar-2003,941.4,247.8,172.1,408.4,46.6,43.0,23.2,0.0
Jun-2003,943.7,218.9,154.3,476.8,38.9,36.0,18.6,0.0
Sep-2003,951.2,180.7,137.5,544.7,34.3,40.6,13.1,0.0
Dec-2003,1017.9,201.6,144.8,528.0,54.5,63.3,25.4,0.0
Mar-2004,950.4,208.7,170.5,442.0,48.1,50.6,30.3,0.0
Jun-2004,1016.3,203.0,160.8,535.1,41.6,46.0,29.5,0.0
Sep-2004,1135.9,235.4,137.2,653.8,34.9,50.3,24.0,0.0
Dec-2004,1105.2,214.9,159.3,584.0,56.3,61.8,28.5,0.0
Mar-2005,1007.6,226.9,160.5,484.7,51.7,52.5,31.0,0.0
Jun-2005,1138.1,248.6,143.2,608.1,48.1,64.1,25.7,0.0
Sep-2005,1102.8,224.4,124.1,657.2,34.7,42.3,19.7,0.0
Dec-2005,1045.7,218.1,157.5,546.9,48.1,53.3,21.5,0.0
Mar-2006,1039.1,238.4,158.6,519.1,54.9,46.7,21.0,0.0
Jun-2006,1050.8,234.3,137.5,575.7,39.1,45.0,19.0,0.0
Sep-2006,1145.4,230.8,139.1,673.0,37.2,47.2,18.0,0.0
Dec-2006,1162.6,230.4,183.9,618.3,50.0,53.8,26.0,0.0
Mar-2007,1072.6,254.3,176.9,522.6,51.1,44.9,22.6,0.0
Jun-2007,1010.2,225.8,134.7,543.3,41.1,43.2,21.9,0.0
Sep-2007,1033.2,221.1,124.4,584.2,38.1,48.1,17.3,0.0
Dec-2007,1079.0,235.3,163.2,556.0,42.4,62.0,20.1,0.0
Mar-2008,923.7,227.6,149.6,429.5,48.4,47.7,20.9,0.0
Jun-2008,1073.9,233.1,139.8,600.3,32.1,50.2,18.5,0.0
Sep-2008,1046.1,233.6,117.1,601.2,27.7,48.9,17.6,0.0
Dec-2008,1023.3,226.3,135.9,535.6,40.7,66.7,18.1,0.0
Mar-2009,946.0,221.0,138.9,477.3,45.3,46.3,17.2,0.0
Jun-2009,930.8,200.5,112.7,512.0,45.6,43.1,16.9,0.0
Sep-2009,1056.4,231.3,106.4,627.9,38.2,38.3,14.3,0.0
Dec-2009,981.1,231.2,134.7,499.6,54.8,42.7,18.1,0.0
Mar-2010,908.1,224.5,152.9,414.7,59.1,37.1,19.8,0.0
Jun-2010,977.3,210.0,139.6,522.9,51.3,33.7,19.9,0.0
Sep-2010,1025.7,226.1,130.2,566.4,46.6,35.9,20.5,0.0
Dec-2010,1021.9,220.7,156.7,521.3,52.1,49.3,21.9,0.0
Mar-2011,955.7,223.8,150.6,455.6,60.3,44.1,21.3,0.0
Jun-2011,1029.8,223.8,125.0,565.7,52.2,44.7,18.4,0.0
Sep-2011,1055.8,232.7,121.3,599.4,46.5,42.5,13.3,0.0
Dec-2011,1094.2,235.0,154.6,569.1,60.5,57.3,17.8,0.0
Mar-2012,975.5,228.5,127.4,496.0,58.8,46.0,18.9,0.0
Jun-2012,985.2,202.5,133.1,541.5,48.0,42.4,17.7,0.0
Sep-2012,1085.9,227.5,124.0,623.3,53.8,44.6,12.7,0.0
Dec-2012,1099.2,237.1,151.3,589.3,51.1,54.3,16.2,0.0
Mar-2013,998.2,225.6,161.0,491.9,55.5,49.4,14.8,0.0
Jun-2013,1081.5,241.3,147.0,578.3,57.4,43.7,13.7,0.0
Sep-2013,1177.9,265.5,161.4,638.9,50.2,47.8,14.1,0.0
Dec-2013,1137.6,248.2,174.7,571.1,61.4,63.5,18.7,0.0
Mar-2014,1087.3,238.7,184.9,528.3,66.9,46.1,22.5,0.0
Jun-2014,1073.4,233.9,169.5,548.7,57.4,46.2,17.7,0.0
Sep-2014,1181.5,260.2,197.1,594.0,59.6,52.6,18.0,0.0
Dec-2014,1212.7,267.5,225.5,573.6,60.5,66.6,18.9,0.0
Mar-2015,1145.4,268.7,219.3,529.6,58.8,49.6,19.5,0.0
Jun-2015,1119.5,242.5,189.1,564.4,60.1,43.3,20.0,0.0
Sep-2015,1151.0,257.2,158.0,605.0,58.5,53.8,18.5,0.0
Dec-2015,1141.1,229.1,179.3,580.2,60.6,64.8,27.2,0.0
Mar-2016,991.8,203.6,165.8,496.0,53.6,47.5,25.2,0.0
Jun-2016,971.5,202.9,134.7,513.6,56.4,43.5,20.4,0.0
Sep-2016,901.1,175.4,118.9,485.0,55.1,50.4,16.3,0.0
Dec-2016,995.5,214.0,137.6,508.6,55.9,58.9,20.5,0.0
Mar-2017,928.4,209.8,140.0,460.1,48.6,47.9,22.1,0.0
Jun-2017,976.3,201.6,126.6,524.8,62.7,42.9,17.7,0.0
Sep-2017,1037.1,208.5,140.1,550.6,67.1,48.3,22.5,0.0
Dec-2017,962.2,210.3,144.4,453.1,70.1,55.7,28.6,0.0
Mar-2018,942.5,231.2,149.5,452.4,36.6,45.7,27.1,0.0
Jun-2018,965.3,210.6,150.1,506.5,32.5,41.6,23.9,0.0
Sep-2018,1007.1,216.6,144.0,556.4,29.2,34.9,26.1,0.0
Dec-2018,960.1,231.9,153.6,467.5,33.6,45.5,28.1,0.0
Mar-2019,912.1,218.2,153.7,449.7,29.0,34.3,27.2,0.0
Jun-2019,884.5,202.3,147.3,445.0,27.1,38.5,24.3,0.0
Sep-2019,976.0,210.4,152.7,521.1,28.5,39.8,23.5,0.0
Dec-2019,956.9,209.0,160.5,484.8,29.5,45.3,27.9,0.0
Mar-2020,922.9,202.9,160.9,460.6,30.6,38.5,29.4,0.0
Jun-2020,834.5,182.9,121.9,444.4,20.9,38.5,25.9,0.0
Sep-2020,828.6,166.0,104.5,466.0,22.1,42.3,27.7,0.0
Dec-2020,809.6,171.9,127.8,407.1,27.2,49.2,26.4,0.0
Mar-2021,770.7,169.1,121.3,399.2,19.0,39.7,22.3,0.0
Jun-2021,806.8,169.7,109.6,447.9,17.1,38.8,23.8,0.0
Sep-2021,886.9,177.6,105.1,536.4,20.8,25.3,21.7,0.0
Dec-2021,836.4,179.1,116.3,452.4,23.8,41.7,23.3,0.0
Mar-2022,793.1,195.1,105.3,410.8,20.6,37.8,23.4,0.0
Jun-2022,829.7,189.0,108.4,449.4,25.4,39.7,17.7,0.0
Sep-2022,875.4,184.4,113.9,492.1,22.3,42.7,20.1,0.0
Dec-2022,847.2,178.0,114.1,461.8,21.4,49.4,22.4,0.0
Mar-2023,888.4,199.3,120.6,477.3,22.2,44.5,24.5,0.0
Jun-2023,898.0,195.0,127.2,484.8,22.9,44.9,23.3,0.0
Sep-2023,971.1,198.1,138.7,535.1,26.8,45.5,27.0,0.0
Dec-2023,972.0,206.1,154.0,494.3,35.8,52.7,29.2,0.0
Mar-2024,929.6,197.6,151.3,470.4,35.9,47.2,27.3,0.0
Jun-2024,988.6,192.6,154.3,536.2,36.1,46.6,22.8,0.0
Sep-2024,1071.8,190.2,158.7,611.3,41.0,45.3,25.4,0.0
Dec-2024,1028.4,190.4,152.0,565.3,42.5,49.4,28.9,0.0
